id,org_id,label,sort_order,start_pts,uma1,uma2,uma3,uma4,oka,rule_detail,eligibility,note
rmu_a,rmu,Aリーグ,1,30000,20,10,-10,-20,20000,30000点持ち30000点返し｜ウマ20-10,RMU,RMU正規リーグ
rmu_b,rmu,Bリーグ,2,30000,20,10,-10,-20,20000,30000点持ち30000点返し｜ウマ20-10,RMU,RMU正規リーグ
rmu_c,rmu,Cリーグ,3,30000,20,10,-10,-20,20000,30000点持ち30000点返し｜ウマ20-10,RMU,RMU正規リーグ
rmu_rookie,rmu,新人王戦,4,30000,20,10,-10,-20,20000,30000点持ち30000点返し｜ウマ20-10,RMU,RMU新人対象
rmu_open,rmu,オープン大会,5,30000,10,5,-5,-10,10000,30000点持ち30000点返し｜ウマ10-5,オープン,誰でも参加可
rmu_pro,rmu,プロ公式戦,6,30000,30,10,-10,-30,20000,30000点持ち30000点返し｜ウマ30-10,プロ,プロ限定
free,other,フリー対局,1,25000,0,0,0,0,0,ルール自由,オープン,
